,NAICS.id,YEAR.id,ESTAB,CERT,DOCKET,ACTIVE,CHANGEC1,CHANGEC2,CHANGEC3,CHANGEC4,CHANGEC5,CHARTER,CLCODE,CMSA_NO,DENOVO,FDICDBS,FED,FED_RSSD,FEDCHRTR,IBA,INACTIVE,INSTCRCD,INSBIF,INSCOML,INSDIF,INSFDIC,INSSAIF,INSSAVE,MSA_NO,NEWCERT,OAKAR,OTSDIST,QBPRCOML,STCHRTR,SASSER,STCNTY,STNUM,SUPRV_FD,OCCDIST,UNINUM,ULTCERT,CFPBFLAG,REGAGENT2,CERTCONS,PARCERT,FORM31,HCTMULT,INSTAG,MUTUAL,RSSDHCR,STMULT,SUBCHAPS,TRUST,SPECGRP,TRACT,CSA_NO,CSA_FLG,CBSA_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_MICRO_FLG,CBSA_DIV_NO,CBSA_DIV_FLG,CB
1478,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
1479,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
1480,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
1481,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
1482,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
1483,0,2016,1242,29171,3036,0,221,999,999,0,0,0,38,70,0,2,2,967176,1,0,1,0,0,0,0,1,1,1,5380,16011,0,1,1,0,0,36059,36,2,1,42005,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,35620,35620,1,0,35004,1,0
1484,0,2016,808,58424,0,1,0,0,0,0,0,0,21,70,0,2,2,3633173,0,0,0,0,0,1,1,1,0,0,5600,0,0,1,1,1,0,36081,36,2,1,451431,58424,0,0,0,0,0,0,0,0,0,1,0,0,4,0,408,1,35620,35620,1,0,35614,1,1
1485,0,2016,808,58424,0,1,0,0,0,0,0,0,21,70,0,2,2,3633173,0,0,0,0,0,1,1,1,0,0,5600,0,0,1,1,1,0,36081,36,2,1,451431,58424,0,0,0,0,0,0,0,0,0,1,0,0,4,0,408,1,35620,35620,1,0,35614,1,1
1486,0,2016,808,58424,0,1,0,0,0,0,0,0,21,70,0,2,2,3633173,0,0,0,0,0,1,1,1,0,0,5600,0,0,1,1,1,0,36081,36,2,1,451431,58424,0,0,0,0,0,0,0,0,0,1,0,0,4,0,408,1,35620,35620,1,0,35614,1,1
1487,0,2016,808,58424,0,1,0,0,0,0,0,0,21,70,0,2,2,3633173,0,0,0,0,0,1,1,1,0,0,5600,0,0,1,1,1,0,36081,36,2,1,451431,58424,0,0,0,0,0,0,0,0,0,1,0,0,4,0,408,1,35620,35620,1,0,35614,1,1
